timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
126030558,-1,-22,4260,36,-40,-15,4,-2,21,387.9467
126038556,0,19,4232,36,-43,-15,6,0,19,387.97485
126040558,0,19,4232,36,-43,-15,6,0,19,387.97122
126045556,-15,26,4223,36,-41,-15,5,1,22,387.94354
126050558,9,6,4214,36,-41,-16,5,1,22,387.94092
126055556,-22,-14,4242,36,-42,-15,6,-3,18,387.93155
126060558,-3,-8,4220,38,-41,-14,6,-3,18,387.9373
126065556,-18,1,4244,38,-41,-16,3,-2,19,387.95712
126070558,-13,-11,4252,36,-44,-15,3,-2,19,387.97382
126075556,28,-11,4210,36,-39,-14,6,-2,21,387.9467
126080558,-18,-6,4239,40,-42,-13,6,-2,21,387.96442
126085556,23,-6,4218,37,-42,-16,5,-2,19,387.97122
126090558,-20,-7,4246,35,-42,-16,5,-2,19,387.95294
126095556,-5,-3,4232,35,-40,-15,4,-2,18,387.94928
126100558,6,-1,4225,37,-41,-14,4,-2,18,387.9373
126105556,6,-9,4213,38,-43,-16,5,-3,18,387.94772
126110558,22,2,4211,37,-43,-16,5,-3,18,387.96964
126115556,9,-5,4243,35,-40,-15,5,-4,19,387.9451
126120558,2,-6,4234,36,-39,-18,5,-4,19,387.9279
126125556,-21,6,4235,37,-43,-17,3,-1,20,387.9331
126130558,10,-18,4243,37,-40,-14,3,-1,20,387.9545
126138556,-11,-5,4228,38,-42,-12,4,-1,20,387.95868
126140558,-11,-5,4228,38,-42,-12,4,-1,20,387.95868
126145556,12,3,4232,37,-43,-13,4,-2,18,387.93832
126150558,-7,-14,4247,36,-43,-14,4,-2,18,387.93155
126155556,10,-2,4229,37,-40,-15,5,-4,20,387.9451
126160558,13,-2,4221,36,-41,-16,5,-4,20,387.92215
126165556,2,-5,4191,37,-40,-15,4,-2,20,387.91327
126170558,-7,12,4207,35,-42,-13,4,-2,20,387.8976
126175556,-4,-1,4219,37,-43,-18,6,-1,20,387.90857
126180558,-10,6,4235,36,-40,-16,6,-1,20,387.9425
126185556,2,6,4251,37,-43,-14,6,-2,19,387.9044
126190558,-40,-2,4248,38,-40,-18,4,-2,19,387.93988
126195556,-3,-8,4222,35,-41,-15,4,-2,17,387.9519
126200558,13,4,4243,36,-43,-15,4,-3,17,387.91953
