timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
921982556,142,-673,4244,4,15,-21,2,0,22,388.82993
921987558,154,-692,4265,-3,27,-20,2,0,22,388.8273
921992556,181,-645,4268,-10,47,-20,2,-1,20,388.82834
921997558,195,-664,4397,-24,67,-32,2,-1,20,388.8179
922002556,85,-764,4393,-38,82,-41,-1,-2,22,388.84036
922007558,244,51,4030,5,94,-2,-1,-2,22,388.82156
922012556,-18,-1231,5199,-138,149,-7,-1,-2,21,388.81894
922017558,-175,-702,4220,-53,120,-71,-1,-2,21,388.84558
922022556,-287,-573,4037,-14,45,-94,-1,-2,19,388.83356
922027558,-105,-679,4129,-67,9,-60,1,1,19,388.84192
922032556,-284,-762,4073,-70,34,-9,1,1,19,388.84036
922037558,-401,-865,3876,-55,-41,-6,1,1,19,388.84714
922042556,-39,-798,3669,-4,-133,-40,1,1,19,388.8649
922047558,-55,-809,3754,8,-111,-74,0,0,16,388.81372
922052556,53,-1042,3681,0,-112,-122,0,0,16,388.83252
922057558,180,-1027,3702,29,-128,-203,-1,-1,19,388.81113
922062556,153,-863,3778,74,-107,-284,-1,-1,19,388.82156
922067558,197,-846,3937,73,-77,-328,1,-3,18,388.80276
922072556,132,-828,4205,83,-57,-358,1,-3,18,388.81113
922077558,7,-623,4251,102,-65,-356,1,-3,21,388.83514
922091556,99,-443,4357,107,-103,-60,2,-2,20,388.82993
922094558,395,-835,4591,57,-52,118,1,-2,22,388.78397
922096556,395,-835,4591,57,-52,118,1,-2,22,388.78397
922098558,458,-895,4674,45,-1,134,1,-2,22,388.8179
922102556,303,-565,4468,54,20,41,1,-2,22,388.82574
922107558,94,-460,4479,22,38,-14,-1,-1,20,388.78763
922112556,-70,-456,4515,-14,55,5,-1,-1,20,388.7798
922117558,-116,-484,4387,-24,42,50,3,0,18,388.82156
922122556,-88,-594,4191,-34,7,80,3,0,18,388.80695
922127558,-11,-754,4085,-36,-6,82,1,-2,19,388.82053
922132556,-80,-807,3977,-28,4,59,1,-2,19,388.81894
922137558,-87,-872,3874,-19,-7,21,0,-2,18,388.81635
922142556,-102,-883,3784,-1,-21,-21,0,-2,18,388.85132
922147558,-136,-935,3770,16,-42,-63,0,-3,16,388.85236
922152556,-80,-968,3774,32,-73,-99,0,-3,16,388.83774
922157558,-68,-934,3809,49,-93,-134,1,-4,17,388.80954
922162556,-2,-876,3894,75,-107,-157,1,-4,17,388.81635
922167558,-21,-824,4086,92,-117,-161,0,-3,18,388.8059
922172556,6,-675,4077,113,-130,-110,0,-3,18,388.79858
922177558,164,-696,4177,103,-110,-2,0,-3,19,388.82993
922182556,251,-810,4406,88,-74,59,0,-3,19,388.82312
922187558,297,-685,4470,92,-58,41,0,-3,20,388.84036
922192556,268,-597,4488,77,-43,3,0,-3,20,388.84454
922197558,196,-519,4523,55,-18,-8,3,-5,21,388.83096
922202556,139,-474,4567,33,-6,4,3,-5,21,388.8367
922207558,143,-490,4473,14,3,28,2,-4,21,388.8273
922212556,88,-556,4387,-3,26,51,2,-4,21,388.79962
922217558,46,-655,4300,-21,42,49,1,-2,19,388.81113
922222556,-18,-766,4211,-30,49,30,1,-2,19,388.78137
922227558,-184,-763,4096,-28,40,-3,1,1,19,388.79962
922232556,-188,-809,3988,-26,9,-26,1,1,19,388.80695
922237558,-193,-836,3906,-16,-27,-41,1,1,19,388.82574
922242556,-166,-851,3845,3,-59,-49,-1,0,19,388.8085
922247558,-57,-889,3768,17,-87,-56,-1,0,19,388.80695
922252556,-25,-904,3777,38,-92,-73,-1,-1,18,388.81894
922257558,11,-924,3871,56,-93,-94,-1,-1,18,388.79337
922262556,-31,-865,3972,77,-101,-99,1,-3,17,388.78397
922267558,-12,-792,4028,94,-108,-64,1,-3,17,388.83252
922272556,108,-784,4148,96,-112,-9,0,-2,21,388.83514
922277558,237,-748,4234,97,-102,27,0,-2,21,388.82312
922285556,318,-689,4331,93,-87,22,1,-3,20,388.8273
922287558,317,-617,4382,84,-61,3,1,-3,20,388.8038
922292556,266,-534,4447,70,-23,1,1,-2,23,388.8273
922297558,197,-533,4486,49,10,6,1,-2,23,388.8038
922302556,106,-525,4476,32,35,22,0,-4,23,388.7824
922307558,27,-553,4467,11,40,31,0,-4,23,388.7824
922312556,-1,-642,4404,-5,35,35,3,-3,23,388.81894
922317558,-70,-704,4333,-19,21,29,3,-3,23,388.82156
922322556,-93,-725,4195,-23,9,4,3,-5,19,388.77197
922327558,-117,-756,4043,-23,-11,-13,3,-5,19,388.79077
922332556,-157,-795,3979,-20,-26,-30,3,-2,19,388.8012
922337558,-137,-808,3903,-5,-43,-40,3,-2,19,388.8367
922342556,-119,-838,3820,3,-62,-53,-1,0,19,388.84036
922347558,-70,-887,3814,19,-81,-64,-1,0,19,388.81635
922352556,-30,-888,3870,38,-96,-81,-1,-3,18,388.8038
922357558,-9,-893,3915,59,-113,-88,-1,-3,18,388.7918
922362556,52,-831,3964,76,-124,-77,2,-6,19,388.8179
922367558,151,-837,4014,87,-120,-34,2,-6,19,388.81635
922372556,237,-795,4159,90,-96,8,3,-4,18,388.79962
922377558,274,-734,4224,94,-68,15,3,-4,18,388.82053
922385556,254,-637,4355,88,-36,7,2,-4,19,388.83514
922387558,198,-571,4398,80,-15,7,2,-4,19,388.79858
922392556,136,-564,4512,64,3,16,2,-4,19,388.82156
922397558,81,-563,4511,47,13,25,2,-4,19,388.81372
922402556,41,-574,4492,31,15,30,2,-4,19,388.8273
922407558,34,-612,4414,11,20,34,2,-4,19,388.8367
922412556,-35,-661,4374,-2,21,27,3,-3,20,388.82312
922417558,-83,-680,4267,-15,17,17,3,-3,20,388.81216
922422556,-125,-706,4191,-16,-1,-1,0,1,18,388.80276
922427558,-161,-768,4076,-19,-20,-11,0,1,18,388.8273
922432556,-149,-800,3976,-14,-44,-30,0,-1,18,388.82312
922437558,-93,-823,3904,-4,-74,-48,0,-1,18,388.7944
922442556,-32,-841,3841,9,-93,-66,0,-2,17,388.79962
922447558,28,-849,3835,22,-104,-83,1,-2,17,388.83252
922452556,22,-862,3892,40,-102,-101,1,-2,17,388.82053
922457558,38,-821,3881,67,-108,-88,1,-1,17,388.82312
922462556,114,-845,3960,72,-102,-49,1,-1,17,388.8085
922467558,190,-873,4096,79,-82,-4,1,-1,19,388.8247
922472556,232,-816,4135,92,-69,16,1,-1,19,388.83774
922477558,233,-690,4246,94,-53,6,1,-3,20,388.82993
922485556,194,-586,4310,84,-27,1,2,-2,20,388.785
922487558,168,-575,4424,70,-9,16,2,-2,20,388.78137
922492556,146,-573,4420,59,10,28,2,-2,20,388.79337
922497558,70,-600,4466,43,24,32,2,-2,22,388.8059
922502556,-17,-612,4463,28,24,29,2,-2,22,388.81635
922507558,-64,-634,4436,8,24,28,2,-2,20,388.8059
922512556,-111,-665,4391,-2,14,20,2,-2,20,388.7824
922517558,-120,-675,4255,-11,-11,11,2,-1,20,388.7918
922522556,-114,-722,4152,-13,-35,0,2,-1,20,388.81216
922527558,-80,-758,4067,-16,-54,-13,0,-1,19,388.8085
922532556,-44,-790,3954,-13,-66,-39,0,-1,19,388.8038
922537558,-23,-820,3878,-3,-76,-59,1,-2,19,388.8012
922542556,9,-812,3884,10,-80,-80,1,-2,19,388.7824
922547558,8,-854,3891,25,-85,-100,2,-2,16,388.81216
922552556,15,-821,3900,45,-97,-100,2,-2,16,388.81372
922557558,73,-808,3902,61,-107,-69,2,-3,16,388.84558
922562556,157,-878,4028,67,-94,-23,2,-3,16,388.82574
922567558,217,-861,4077,79,-73,7,0,-4,18,388.8586
922572556,278,-782,4142,89,-54,10,0,-4,18,388.8247
922577558,173,-663,4240,90,-26,1,1,-2,20,388.83514
922585556,141,-600,4338,79,-4,11,1,-2,20,388.7944
922587558,134,-592,4372,66,7,25,3,-1,23,388.7944
922592556,58,-587,4475,54,14,35,3,-1,23,388.7944
922597558,14,-594,4461,41,11,33,1,-1,21,388.84976
922602556,4,-634,4423,29,8,29,1,-1,21,388.84192
922607558,-70,-630,4411,16,6,22,3,-4,20,388.81372
922612556,-77,-676,4325,1,-7,16,3,-4,20,388.82834
922617558,-112,-686,4238,-7,-20,5,-1,-2,22,388.82312
922622556,-91,-732,4181,-13,-37,-5,-1,-2,22,388.82574
922627558,-92,-757,4094,-12,-56,-26,0,-3,19,388.78918
922632556,-52,-781,3995,-6,-74,-49,0,-3,19,388.8059
922637558,15,-793,3935,3,-84,-70,1,-1,19,388.785
922642556,47,-846,3866,11,-90,-90,1,-1,19,388.81635
922647558,27,-832,3923,28,-87,-106,1,-3,17,388.78137
922652556,38,-800,3882,51,-93,-89,1,-3,17,388.82834
