timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
314239556,-29,-1040,4151,31,-14,12,2,1,21,388.2844
314244558,-74,-1055,4151,30,-8,10,2,1,21,388.29068
314249558,-109,-1008,4128,20,-1,18,0,0,19,388.28024
314254558,-135,-1010,4160,9,8,37,0,0,19,388.28546
314259558,-142,-1060,4173,-7,2,73,1,-1,22,388.27866
314264558,-112,-1058,4200,-18,-6,106,1,-1,22,388.27344
314269558,-97,-1058,4196,-30,-24,135,-1,0,22,388.27188
314274558,-47,-1093,4172,-30,-45,162,-1,0,22,388.26926
314279558,1,-1069,4166,-35,-58,175,1,0,21,388.26404
314284558,59,-1070,4138,-35,-67,175,1,0,21,388.25153
314289558,507,-1036,4422,-24,-96,126,1,-1,21,388.28284
314294558,-143,-1430,4802,-70,-2,134,1,-1,21,388.27762
314299558,11,-1035,3984,-55,-21,126,-1,0,19,388.299
314304558,9,-830,3679,-19,-53,108,-1,0,19,388.28702
314309558,-14,-997,4027,-44,-20,93,0,-1,16,388.2844
314314558,-83,-1065,4123,-63,-10,83,0,-1,16,388.2844
314319558,-90,-1135,3978,-64,-32,62,0,-2,18,388.27084
314324558,-21,-1139,3919,-43,-44,36,0,-2,18,388.2395
314329558,-126,-1297,3998,-21,-58,-19,1,0,17,388.25882
314334558,-81,-1326,3969,13,-93,-74,1,0,17,388.26926
314346558,-138,-1169,3893,63,-120,-168,-2,-1,19,388.27762
314349558,-74,-1188,3931,77,-149,-216,5,-1,18,388.25674
314351558,-74,-1188,3931,77,-149,-216,5,-1,18,388.27762
314354558,-63,-1088,4034,95,-153,-268,5,-1,18,388.27762
314359558,32,-1067,4062,86,-156,-350,0,-5,18,388.28702
314364558,16,-1128,4150,67,-150,-463,0,-5,18,388.26822
314369558,-181,-1103,4331,88,-141,-564,-1,-3,20,388.25986
314374558,-321,-978,4446,143,-179,-524,-1,-3,20,388.28702
314379558,-62,-733,4183,139,-234,-364,0,0,19,388.27866
314384558,25,-853,4186,49,-196,-130,0,0,19,388.26562
314389558,247,-1062,4270,-15,-150,84,0,-3,19,388.27344
314394558,685,-1171,4190,-29,-128,175,0,-3,19,388.27762
314399558,669,-1140,4121,-27,-39,126,-1,-6,17,388.2505
314404558,475,-996,4025,3,22,24,-1,-6,17,388.263
314409558,357,-830,3877,17,51,-55,1,-4,19,388.26562
314414558,69,-907,3900,3,92,-68,1,-4,19,388.23535
314419558,-20,-1104,3849,-16,95,-25,0,-4,18,388.26926
314424558,-73,-1290,3836,-23,93,26,0,-4,18,388.28128
314429558,-212,-1437,3923,-13,97,63,0,-1,17,388.25986
314434558,-242,-1385,3942,23,83,74,0,-1,17,388.2505
314439558,-279,-1235,3959,61,62,54,0,-1,17,388.26144
314444558,-400,-1035,4024,80,39,25,-2,0,17,388.25882
314449558,-444,-968,4041,85,-9,4,-2,0,17,388.22073
