timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
106035556,10,102,4255,15,-22,-34,6,1,23,387.9211
106040558,-10,99,4219,22,-14,-25,5,-1,23,387.94928
106045556,-42,51,4251,24,-16,-17,5,-1,23,387.93832
106050558,-33,17,4248,23,-13,-4,5,1,16,387.94092
106055556,-18,-12,4238,29,-16,13,5,1,16,387.89917
106060558,-1,-94,4241,29,-17,32,6,0,17,387.9096
106065556,999,607,5084,54,-29,68,6,0,17,387.96182
106070558,-321,-597,3610,-35,60,108,8,-2,14,387.92526
106075556,-58,-396,4695,6,-15,91,8,-2,14,387.9211
106080558,-268,-224,4134,45,1,73,3,-3,20,387.94092
106085556,11,-48,3772,41,-44,64,3,-3,20,387.9519
106090558,492,-10,4574,-19,-20,38,6,-2,19,387.9331
106095556,221,47,3902,-42,38,-41,6,-2,19,387.9519
106100558,204,46,4371,-51,29,-123,4,-2,21,387.95294
106105556,181,-1,4175,-49,27,-167,4,-2,21,387.9519
106110558,-85,-134,4267,-9,17,-177,3,0,20,387.94354
106115556,-63,4,4477,66,-37,-169,3,0,20,387.93048
106120558,142,309,3914,81,-81,-166,5,-2,19,387.91953
106125556,-82,182,4252,14,-1,-132,5,-2,19,387.9211
106130558,-472,-20,4302,-21,54,-85,3,0,20,387.92526
106179556,8,8,4196,24,-22,-46,5,0,22,387.94092
106182558,-169,61,4225,37,-4,-41,5,0,22,387.9185
106184556,-169,61,4225,37,-4,-41,5,0,22,387.9185
106186558,-210,15,4285,31,-23,-15,5,0,22,387.9185
106188556,-210,15,4285,31,-23,-15,5,0,22,387.9185
106190558,-136,7,4208,31,-46,13,3,0,21,387.95712
106192556,-136,7,4208,31,-46,13,3,0,21,387.95712
106194558,-136,7,4208,31,-46,13,3,0,21,387.95712
106196556,-34,19,4224,40,-55,33,3,0,21,387.9357
106198558,-34,19,4224,40,-55,33,3,0,21,387.9357
106200556,83,-10,4228,41,-59,30,3,-3,22,387.9237
106202558,83,-10,4228,41,-59,30,3,-3,22,387.9237
106204556,83,-10,4228,41,-59,30,3,-3,22,387.93414
106206558,133,-4,4193,36,-46,14,3,-3,22,387.93414
106208556,133,-4,4193,36,-46,14,3,-3,22,387.93414
106210558,66,-29,4284,35,-30,-7,3,-5,15,387.93414
106215556,28,-17,4227,33,-32,-24,3,-5,15,387.9331
106220558,72,-26,4252,37,-48,-39,2,-3,18,387.90857
106225556,76,-16,4223,42,-44,-49,2,-3,18,387.9357
106230558,17,-13,4200,36,-30,-59,2,-2,19,387.92526
106235556,-95,-37,4263,32,-26,-66,4,-2,19,387.93832
106240558,-123,-55,4256,38,-28,-58,4,-2,19,387.9117
106245556,-91,-18,4217,42,-48,-36,5,-1,21,387.9117
106250558,-23,-35,4236,40,-53,-18,5,-1,21,387.9545
106255556,5,-27,4209,35,-50,-10,4,-1,18,387.9373
106260558,63,-29,4241,40,-48,-6,4,-1,18,387.9467
106265556,90,-38,4217,38,-49,-12,6,-3,20,387.92892
106270558,59,-38,4218,36,-36,-15,6,-3,20,387.9331
106275556,13,-46,4240,35,-32,-22,2,-1,21,387.95868
106280558,-35,-30,4215,35,-30,-23,2,-1,21,387.95294
106285556,-55,-41,4289,37,-35,-20,4,0,20,387.96964
106290558,-59,-45,4210,36,-38,-16,4,0,20,387.97382
106295556,-30,-49,4232,36,-46,-10,5,-1,21,387.96182
106300558,14,-31,4219,38,-48,-11,5,-1,21,387.9331
106305556,39,-2,4200,40,-47,-15,6,-3,20,387.91953
