timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
147664530,721,-1174,3976,43,22,-57,3,-4,14,376.88806
147669532,734,-1154,4004,45,42,-54,3,-4,14,376.89117
147674532,771,-1146,4018,46,59,-55,3,-5,12,376.8844
147679532,808,-1107,4014,44,84,-46,3,-5,12,376.90683
147684532,1651,-142,4063,79,75,-32,1,-5,16,376.8818
147689532,841,-836,4283,5,173,-23,1,-5,16,376.8964
147694532,496,-1347,3935,3,123,-34,-1,-7,14,376.88806
147699532,747,-1225,4001,0,89,-18,-1,-7,14,376.90683
147704532,797,-1058,4095,-2,81,-18,2,-5,12,376.88962
147709532,812,-1081,4072,-12,83,-6,2,-5,12,376.87918
147714532,743,-1114,4030,-14,77,-5,0,-5,11,376.89117
147719532,717,-1168,4036,-21,75,7,0,-5,11,376.8938
147724532,705,-1102,4014,-26,66,9,0,-7,9,376.88284
147729532,729,-1084,4023,-27,46,5,0,-7,9,376.8677
147734532,776,-1121,3973,-31,42,9,0,-7,12,376.8719
147739532,783,-1102,3982,-31,59,19,0,-7,12,376.88544
147744532,692,-1159,3984,-32,59,28,1,-7,13,376.93134
147749532,947,-857,3919,-44,72,39,1,-7,13,376.87555
147754532,797,-1117,4077,-103,142,69,1,-4,12,376.8599
147759532,681,-1044,4048,-101,182,110,2,-4,12,376.8818
147966532,933,-1465,3557,-173,-318,-98,1,-4,12,376.90005
147969532,933,-1465,3557,-173,-318,-98,1,-4,12,376.90005
147971532,893,-1385,3539,-103,-277,-107,1,-4,12,376.88544
147973532,893,-1385,3539,-103,-277,-107,3,-3,11,376.88544
147975532,883,-1346,3624,-49,-226,-114,3,-3,11,376.93552
147977532,883,-1346,3624,-49,-226,-114,3,-3,11,376.93552
147979532,883,-1346,3624,-49,-226,-114,3,-3,11,376.92715
147981532,779,-1305,3693,-26,-183,-129,3,-3,11,376.92715
147983532,779,-1305,3693,-26,-183,-129,1,-8,6,376.92456
147985532,662,-1206,3768,-8,-141,-147,1,-8,6,376.92456
147987532,662,-1206,3768,-8,-141,-147,1,-8,6,376.92456
147989532,662,-1206,3768,-8,-141,-147,1,-8,6,376.9329
147991532,789,-1078,3626,-6,-122,-159,1,-8,6,376.9329
147993532,789,-1078,3626,-6,-122,-159,-5,-6,4,376.89902
147995532,483,-2102,2820,-30,-80,-168,-5,-6,4,376.89902
147997532,483,-2102,2820,-30,-80,-168,-5,-6,4,376.84634
147999532,483,-2102,2820,-30,-80,-168,-5,-6,4,376.84634
148001532,1270,-2891,2680,198,-153,-61,-5,-6,4,376.84634
148003532,1270,-2891,2680,198,-153,-61,-5,-13,3,376.87292
148005532,1980,-1556,2209,654,-117,86,-5,-13,3,376.87292
148008532,1980,-1556,2209,654,-117,86,-5,-13,3,376.88702
148010532,844,-912,3080,880,52,15,-5,-13,3,376.88702
148012532,844,-912,3080,880,52,15,-5,-13,3,376.91516
148014532,844,-912,3080,880,52,15,-3,-8,6,376.91516
148016532,1117,-1280,3586,893,89,52,-3,-8,6,376.88022
148018532,1117,-1280,3586,893,89,52,-3,-8,6,376.88022
148020532,802,-1074,3581,864,226,109,-3,-8,6,376.8818
148022532,802,-1074,3581,864,226,109,-3,-8,6,376.8818
148024532,802,-1074,3581,864,226,109,-2,-7,8,376.8818
148026532,656,-755,3746,889,348,107,-2,-7,8,376.89117
148028532,656,-755,3746,889,348,107,-2,-7,8,376.89117
148030532,1011,-1003,4008,817,429,147,-2,-7,8,376.8771
148032532,1011,-1003,4008,817,429,147,-2,-7,8,376.8771
148034532,1011,-1003,4008,817,429,147,-2,-7,9,376.83957
148036532,890,-912,4051,739,530,169,-2,-12,9,376.83957
148038532,890,-912,4051,739,530,169,-2,-12,9,376.83957
148040532,810,-829,4113,651,632,189,-2,-12,9,376.85312
148042532,810,-829,4113,651,632,189,-2,-12,9,376.85312
148044532,810,-829,4113,651,632,189,-2,-12,9,376.8771
148046532,888,-933,4077,556,730,198,1,-10,8,376.8771
148055532,394,-731,4589,313,931,183,3,-6,14,376.8693
148057532,394,-731,4589,313,931,183,3,-6,14,376.89902
148059532,394,-731,4589,313,931,183,3,-6,14,376.89902
148061532,266,-907,4798,144,901,128,3,-6,14,376.90942
148063532,266,-907,4798,144,901,128,3,-6,14,376.90942
148065532,273,-1177,4727,19,835,85,3,-6,14,376.90942
148067532,273,-1177,4727,19,835,85,-2,-4,11,376.91516
148069532,273,-1177,4727,19,835,85,-2,-4,11,376.91516
148071532,235,-1227,4571,-79,756,55,-2,-4,11,376.89743
148073532,235,-1227,4571,-79,756,55,-2,-4,11,376.89743
148075532,303,-1382,4455,-130,649,31,-2,-4,11,376.9016
148077532,303,-1382,4455,-130,649,31,-5,-5,8,376.9016
148079532,303,-1382,4455,-130,649,31,-5,-5,8,376.9016
148081532,370,-1395,4318,-140,528,3,-5,-5,8,376.9256
148083532,370,-1395,4318,-140,528,3,-5,-5,8,376.9256
148085532,425,-1434,4303,-129,413,-11,-5,-5,8,376.9136
148087532,425,-1434,4303,-129,413,-11,-4,-10,7,376.9136
148089532,425,-1434,4303,-129,413,-11,-4,-10,7,376.92038
148091532,457,-1432,4243,-115,287,-19,-4,-10,7,376.92038
148093532,457,-1432,4243,-115,287,-19,-4,-10,7,376.92038
148102532,771,-1362,4082,-92,33,-37,0,-9,7,376.89484
148104532,771,-1362,4082,-92,33,-37,0,-9,7,376.8818
148106532,854,-1312,4096,-93,-48,-25,0,-9,7,376.8818
148108532,854,-1312,4096,-93,-48,-25,-1,-6,12,376.8844
148110532,781,-1309,4079,-97,-122,-16,-1,-6,12,376.8844
148112532,781,-1309,4079,-97,-122,-16,-1,-6,12,376.89117
148114532,781,-1309,4079,-97,-122,-16,-1,-6,12,376.89117
148116532,761,-1313,4025,-96,-200,-12,-1,-6,12,376.89117
148118532,761,-1313,4025,-96,-200,-12,-3,-8,7,376.8818
148120532,713,-1319,3979,-92,-270,-26,-3,-8,7,376.8818
148122532,713,-1319,3979,-92,-270,-26,-3,-8,7,376.88544
148124532,713,-1319,3979,-92,-270,-26,-3,-8,7,376.88544
148126532,706,-1400,3837,-75,-350,-31,-3,-8,7,376.88962
148129532,706,-1400,3837,-75,-350,-31,-6,-12,6,376.88962
148134532,773,-1583,3692,-33,-408,-41,-6,-12,6,376.91516
148139532,507,-1362,3562,47,-438,-82,-2,-8,8,376.90317
148144532,850,-1289,3719,129,-469,-80,-2,-8,8,376.92038
148149532,642,-1238,3841,176,-445,-98,-1,-5,9,376.92142
148154532,699,-1291,3917,173,-414,-93,-1,-5,9,376.88962
148159532,707,-1230,4003,162,-362,-100,0,-6,12,376.89117
148168532,776,-1109,4284,93,-215,-72,0,-6,12,376.88806
148170532,687,-1157,4333,6,-119,-44,-1,-7,17,376.88806
148174532,687,-1157,4333,6,-119,-44,-1,-7,17,376.91257
148179532,389,-1266,4125,-72,-80,-28,-1,-7,17,376.9162
148184532,572,-1247,4006,-89,-110,-19,-2,-6,11,376.91516
148189532,639,-1342,3852,-103,-109,-14,-2,-6,11,376.9058
148194532,735,-1316,3784,-96,-110,-2,0,-4,13,376.89902
148199532,714,-1354,3713,-83,-108,7,0,-4,13,376.9016
148204532,734,-1424,3777,-74,-121,9,1,-5,9,376.88962
148209532,787,-1402,3801,-77,-139,7,1,-5,9,376.9136
148214532,790,-1339,3777,-91,-139,10,1,-6,11,376.89484
148219532,779,-1291,3791,-98,-155,6,1,-6,11,376.88806
148224532,813,-1294,3794,-109,-159,12,-2,-6,12,376.89743
148229532,867,-1348,3728,-115,-155,22,-2,-6,12,376.9178
148234532,835,-1457,3587,-108,-125,26,0,-4,7,376.9287
148239532,942,-1558,3257,-56,-98,36,0,-4,7,376.8083
148244532,984,-1783,2409,89,-35,59,-2,-6,5,376.8479
148249532,894,-1291,2856,394,1,131,-2,-6,5,376.89117
148254532,636,-1090,3697,486,44,76,0,-5,10,376.8651
148259532,398,-1250,4175,456,56,-12,0,-5,10,376.86615
