timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
6255541,327,11,4187,47,-40,-14,2,-1,18,375.5501708984375
6260543,370,18,4155,48,-40,-16,2,-1,18,375.5605773925781
6265541,378,24,4177,49,-38,-17,5,1,15,375.5882263183594
6270543,343,28,4149,49,-37,-16,5,1,15,375.57257080078125
6275541,382,20,4188,45,-41,-17,4,-4,14,375.5527648925781
6280543,350,39,4200,49,-41,-11,4,-4,14,375.5689392089844
6285541,376,34,4165,47,-38,-15,5,-1,12,375.57830810546875
6290543,372,21,4177,44,-38,-17,5,-1,12,375.5960388183594
6295541,376,10,4174,44,-37,-14,6,-3,17,375.5699768066406
6300543,358,21,4213,51,-36,-13,6,-3,17,375.59344482421875
6305541,369,13,4159,44,-42,-21,6,-2,16,375.6028137207031
6310543,394,31,4190,45,-40,-18,6,-2,16,375.60125732421875
6315541,374,19,4175,49,-35,-16,3,-2,15,375.60125732421875
6320543,359,14,4187,46,-37,-16,3,-2,15,375.6095886230469
6325541,380,18,4161,46,-38,-14,4,-2,18,375.58612060546875
6330543,387,10,4199,45,-41,-16,4,-2,18,375.6028137207031
6335541,388,17,4148,47,-38,-17,3,-3,15,375.5579833984375
6340543,364,18,4180,51,-40,-16,3,-3,15,375.571533203125
6345541,344,13,4163,49,-40,-18,3,-1,14,375.5501708984375
6350543,383,19,4172,47,-40,-17,3,-1,14,375.571533203125
6355541,392,17,4185,49,-36,-12,4,-3,14,375.5767517089844
6360543,370,29,4188,45,-37,-15,4,-3,14,375.55694580078125
6365541,370,16,4196,47,-40,-16,5,-3,16,375.5960388183594
6370543,366,31,4173,44,-35,-15,5,-3,16,375.55694580078125
6375541,371,23,4190,45,-38,-13,4,-1,15,375.5689392089844
6380543,368,7,4165,46,-35,-15,4,-1,15,375.6038513183594
6385541,370,37,4170,47,-40,-18,4,0,16,375.61480712890625
6390543,353,21,4176,47,-36,-17,4,0,16,375.5663146972656
6395541,376,36,4160,50,-41,-15,4,0,16,375.55535888671875
6400543,350,9,4164,46,-40,-15,6,-2,16,375.5845642089844
6405541,363,12,4180,47,-38,-19,6,-2,16,375.55694580078125
6410543,357,15,4164,46,-38,-17,6,-1,19,375.55694580078125
6415541,350,5,4206,48,-40,-15,6,-1,19,375.5845642089844
6420543,388,19,4168,46,-40,-16,5,-1,15,375.6028137207031
6425541,355,11,4184,49,-36,-16,5,-1,15,375.5767517089844
6430543,378,5,4178,48,-37,-15,4,-3,17,375.5579833984375
6435541,372,26,4194,46,-38,-16,4,-3,17,375.5960388183594
6440543,360,13,4181,47,-39,-13,6,-3,16,375.5689392089844
6445541,355,26,4168,47,-38,-17,6,-3,16,375.6158447265625
6450543,389,20,4165,49,-38,-16,5,-1,17,375.6028137207031
6455541,342,15,4209,50,-39,-15,5,-1,17,375.57830810546875
6460543,378,24,4214,46,-37,-17,5,-3,16,375.548583984375
6465541,378,26,4158,48,-41,-18,5,-3,16,375.55694580078125
6470543,355,13,4196,45,-43,-14,4,-2,16,375.5809326171875
6475541,383,24,4164,47,-36,-14,4,-2,16,375.57830810546875
6480543,361,30,4160,48,-37,-15,5,-1,14,375.5835266113281
6485541,375,15,4156,47,-39,-16,5,-1,14,375.5809326171875
6490543,367,34,4179,48,-41,-17,3,-1,16,375.5527648925781
6495541,366,20,4174,45,-39,-16,3,-1,16,375.5605773925781
6500543,379,6,4166,48,-40,-16,5,-2,16,375.5741271972656
6505541,366,21,4191,49,-37,-17,5,-2,16,375.5673522949219
6510543,360,18,4170,46,-40,-16,5,-4,16,375.5162658691406
6515541,358,31,4182,45,-41,-18,5,-4,16,375.5433654785156
6520543,351,9,4151,46,-40,-16,5,-1,17,375.5423278808594
6525541,366,21,4200,47,-38,-16,5,-1,17,375.59344482421875
6530543,373,11,4169,47,-39,-14,4,-1,15,375.6028137207031
6535541,344,21,4189,47,-38,-17,4,-1,15,375.5986328125
6540543,384,26,4184,46,-37,-16,5,-3,16,375.5663146972656
6545541,365,19,4168,45,-41,-17,5,-3,16,375.5960388183594
6550543,360,11,4173,47,-39,-19,5,-3,15,375.571533203125
6555541,383,27,4197,47,-38,-16,5,-2,15,375.5699768066406
6560543,383,6,4149,46,-39,-14,5,-2,15,375.5673522949219
6565541,396,16,4213,42,-37,-17,5,-6,16,375.571533203125
6570543,368,19,4200,49,-41,-15,5,-6,16,375.5595397949219
6575541,364,33,4190,45,-40,-19,5,-3,16,375.58197021484375
6580543,352,26,4178,47,-39,-17,5,-3,16,375.5882263183594
6585541,347,12,4177,52,-37,-16,4,-3,17,375.5845642089844
6590543,387,30,4166,45,-38,-14,4,-3,17,375.5673522949219
6595541,366,23,4195,47,-39,-15,5,0,13,375.5350341796875
6600543,373,21,4174,50,-38,-17,5,0,13,375.563720703125
6605541,401,34,4181,48,-40,-19,5,-4,15,375.5741271972656
6610543,350,40,4180,46,-38,-18,5,-4,15,375.5595397949219
6615541,359,20,4179,45,-38,-17,5,-3,14,375.5459899902344
6620543,368,28,4214,50,-38,-15,5,-3,14,375.55535888671875
6625541,355,26,4184,48,-40,-17,4,-2,15,375.5543212890625
6630543,377,11,4202,44,-38,-17,4,-2,15,375.5459899902344
6635541,391,30,4188,48,-38,-14,6,-2,17,375.5423278808594
6640543,347,17,4161,47,-38,-15,6,-2,17,375.54754638671875
6645541,370,5,4166,46,-38,-19,4,-3,15,375.5527648925781
6650543,360,2,4159,45,-40,-14,4,-3,15,375.5767517089844
6655541,386,9,4214,48,-41,-16,4,-3,16,375.5741271972656
6660543,365,23,4185,45,-38,-17,4,-3,16,375.53607177734375
6665541,357,3,4187,46,-40,-14,4,-2,16,375.5350341796875
6670543,383,38,4157,49,-39,-15,4,-2,16,375.5256652832031
