timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
468398556,4,-260,4217,35,-48,-15,3,-1,21,388.3987
468403558,-10,-286,4238,31,-46,-13,3,-1,21,388.40393
468411556,-2,-281,4216,31,-41,-16,6,-1,19,388.3841
468413558,-2,-281,4216,31,-41,-16,6,-1,19,388.3841
468418556,13,-287,4198,33,-41,-13,1,-2,22,388.38568
468423558,0,-278,4216,36,-39,-15,1,-2,22,388.4029
468428556,-9,-278,4194,34,-37,-13,4,-3,19,388.37473
468433558,-5,-302,4184,34,-37,-13,4,-3,19,388.38934
468438556,-11,-283,4171,38,-38,-12,3,-1,20,388.38934
468443558,2,-310,4210,33,-38,-14,3,-1,20,388.40656
468448556,-19,-315,4199,39,-35,-17,3,-2,19,388.39456
468453558,-28,-302,4223,36,-36,-13,3,-2,19,388.41544
468458556,-30,-301,4203,38,-40,-13,3,0,17,388.42065
468463558,-1,-276,4205,41,-41,-14,3,0,17,388.45145
468468556,-24,-274,4225,36,-42,-14,2,-2,20,388.42847
468473558,-9,-288,4249,39,-41,-15,2,-2,20,388.41803
468478556,7,-275,4257,39,-44,-14,2,-2,19,388.40656
468483558,-14,-303,4245,39,-43,-18,2,-2,19,388.3841
468488556,-10,-264,4244,38,-44,-17,3,-3,19,388.40134
468493558,6,-267,4235,36,-40,-15,3,-3,19,388.39767
468498556,-23,-295,4207,34,-39,-16,5,-3,20,388.43945
468503558,-11,-276,4220,30,-42,-14,5,-3,20,388.43527
468511556,-13,-291,4188,33,-43,-14,5,-3,19,388.40134
468513558,-13,-291,4188,33,-43,-14,5,-3,19,388.40134
468518556,10,-280,4215,35,-45,-17,3,-3,21,388.4029
468523558,-6,-276,4170,32,-45,-15,3,-3,21,388.4003
468528556,-16,-281,4172,37,-44,-16,3,-2,20,388.4029
468533558,-11,-300,4203,36,-47,-15,3,-2,20,388.41125
468538556,-11,-320,4207,38,-44,-15,3,-2,20,388.3935
468543558,1,-277,4224,40,-44,-16,3,-2,20,388.40134
468548556,-9,-279,4238,40,-45,-14,2,-1,20,388.41022
