timestamp_us,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_x,adxl_y,adxl_z,altitude
2559563,377,32,4196,42,-38,-15,2,-1,19,351.5641784667969
2564561,359,24,4211,42,-39,-16,5,-1,19,351.5979919433594
2569563,376,31,4188,44,-38,-14,5,-1,19,351.5953674316406
2574561,370,37,4195,41,-38,-18,3,-2,18,351.5641784667969
2579563,387,45,4197,42,-36,-13,3,-2,18,351.5834045410156
2584561,370,31,4202,42,-38,-16,5,-4,16,351.5901794433594
2589563,376,39,4203,42,-36,-14,5,-4,16,351.5823669433594
2594561,361,37,4179,45,-35,-14,7,-3,16,351.5823669433594
2599563,350,28,4190,44,-39,-16,7,-3,16,351.5751037597656
2604561,391,62,4206,42,-38,-12,4,-2,17,351.5834045410156
2609563,344,50,4174,40,-37,-15,4,-2,17,351.5761413574219
2614561,379,10,4223,45,-36,-14,5,0,15,351.64947509765625
2619563,365,28,4211,44,-37,-16,5,0,15,351.6369934082031
2624561,381,40,4195,46,-37,-16,3,-1,17,351.5823669433594
2629563,358,31,4196,40,-36,-14,3,-1,17,351.5631408691406
2634561,378,39,4188,46,-35,-14,5,-3,17,351.5751037597656
2639563,361,24,4202,47,-38,-18,5,-3,17,351.57354736328125
2644561,379,20,4197,42,-39,-16,5,-3,17,351.5761413574219
2649563,369,31,4199,41,-40,-17,5,-3,17,351.580810546875
2654561,375,37,4175,41,-37,-14,4,-2,17,351.56158447265625
2659563,374,51,4179,40,-37,-17,4,-2,17,351.5724792480469
2664561,371,47,4195,40,-39,-15,4,-1,17,351.5953674316406
2669563,388,50,4200,40,-31,-17,4,-1,17,351.5953674316406
2674561,396,46,4181,35,-35,-16,4,-1,17,351.5943298339844
2679563,356,21,4194,24,-19,-9,5,-2,17,351.5631408691406
2684561,405,50,4177,36,-35,-15,5,-2,17,351.5761413574219
2689563,331,46,4231,33,-26,-13,5,-1,17,351.5953674316406
2694562,383,27,4184,33,-27,-13,5,-1,17,351.6031799316406
2699563,359,36,4218,34,-30,-14,1,-2,20,351.588623046875
2704561,368,24,4192,31,-30,-9,1,-2,20,351.5683288574219
2709563,377,30,4198,32,-31,-14,6,-1,19,351.5444030761719
2714561,376,56,4236,36,-29,-15,6,-1,19,351.4778137207031
2719563,-743,-276,4614,-22,43,-6,3,-6,17,351.52099609375
2724561,875,-7,3630,62,-84,-20,3,-6,17,351.5574035644531
2729563,144,-3,4333,43,-35,-21,4,-2,15,351.5912170410156
2734561,463,60,4160,42,-36,-16,4,-2,15,351.5683288574219
2739563,369,25,4176,43,-39,-16,2,-3,18,351.5522155761719
2744561,315,37,4251,41,-35,-14,2,-3,18,351.5912170410156
2749563,456,22,4110,40,-35,-16,5,-4,17,351.5901794433594
2754561,254,11,4265,40,-31,-19,5,-4,17,351.5953674316406
2759563,438,55,4145,39,-38,-16,4,-4,19,351.5860290527344
2764561,361,36,4184,44,-33,-17,4,-4,19,351.57354736328125
2769563,360,39,4193,35,-35,-13,5,-1,19,351.5751037597656
2774561,418,48,4160,39,-35,-15,5,-1,19,351.604736328125
2779563,305,16,4198,39,-34,-16,5,-4,15,351.6089172363281
2784561,432,45,4162,43,-40,-11,5,-4,15,351.5860290527344
2789563,348,38,4207,40,-38,-17,4,-2,17,351.5605163574219
2794561,369,30,4215,42,-37,-16,4,-2,17,351.5823669433594
2799563,380,33,4213,41,-39,-18,5,-4,16,351.6005859375
2804561,363,39,4195,45,-39,-14,5,-4,16,351.6062927246094
2809563,375,41,4183,44,-39,-15,4,-3,17,351.5953674316406
2814561,372,29,4220,45,-40,-15,4,-3,17,351.6089172363281
2819563,371,44,4200,42,-37,-19,4,-2,16,351.61151123046875
2824561,373,52,4191,43,-39,-18,4,-2,16,351.604736328125
2829563,367,31,4178,46,-36,-15,4,-2,18,351.6005859375
2834561,377,45,4188,45,-40,-14,5,-2,18,351.6005859375
2839563,362,45,4241,45,-41,-16,5,-2,18,351.57354736328125
2844561,388,28,4192,44,-38,-17,3,-1,18,351.5667724609375
2849563,363,43,4194,45,-35,-16,3,-1,18,351.5823669433594
2854561,386,29,4205,41,-40,-15,6,-4,19,351.5901794433594
2859563,369,29,4199,42,-39,-14,6,-4,19,351.58758544921875
2864561,377,38,4210,45,-39,-17,5,-2,20,351.5782165527344
2869563,369,27,4170,43,-40,-14,5,-2,20,351.5823669433594
2874561,377,29,4210,44,-39,-14,3,-3,15,351.5589599609375
2879563,382,42,4221,41,-39,-17,3,-3,15,351.5605163574219
2884561,360,35,4203,42,-37,-17,4,-1,19,351.56573486328125
2889563,376,42,4189,41,-38,-17,4,-1,19,351.5849914550781
2894561,363,33,4183,43,-40,-16,6,-4,21,351.6089172363281
2899563,372,59,4186,46,-39,-18,6,-4,21,351.5979919433594
2904561,368,23,4186,42,-40,-17,5,-4,17,351.57354736328125
2909563,359,31,4182,43,-39,-14,5,-4,17,351.5953674316406
2914561,376,49,4197,41,-39,-13,4,-4,16,351.5782165527344
2919563,386,43,4175,46,-38,-17,4,-4,16,351.5927734375
2924561,354,22,4203,43,-43,-15,4,-2,16,351.5693664550781
2929563,388,45,4174,43,-37,-14,4,-2,16,351.5589599609375
2934561,363,31,4180,43,-39,-13,5,-3,19,351.5350341796875
2939563,385,35,4200,43,-39,-14,5,-3,19,351.5683288574219
2944561,372,19,4159,41,-41,-16,5,-2,17,351.5969543457031
2949563,348,17,4195,43,-40,-15,5,-2,17,351.56158447265625
2954561,385,48,4201,43,-41,-16,5,-2,17,351.58758544921875
2959563,368,30,4213,44,-41,-13,5,-2,17,351.58758544921875
2964561,374,34,4182,44,-38,-13,5,-2,18,351.56573486328125
2969563,379,47,4206,42,-39,-16,5,-2,18,351.5709228515625
2974561,353,28,4209,44,-37,-15,4,-2,18,351.5683288574219
2979563,389,20,4200,46,-38,-17,4,-2,18,351.588623046875
2984561,377,26,4171,41,-41,-16,4,-3,17,351.580810546875
2989563,356,45,4181,46,-38,-14,4,-3,17,351.5761413574219
2994561,372,39,4187,45,-37,-17,4,-1,18,351.5761413574219
2999563,384,36,4202,40,-37,-18,4,-1,18,351.56573486328125
3004561,377,31,4241,45,-37,-19,4,-1,18,351.5667724609375
3009563,385,35,4180,46,-42,-14,4,-4,19,351.55377197265625
3014561,375,13,4227,41,-37,-16,4,-4,19,351.52777099609375
3019563,381,30,4203,43,-39,-15,5,-1,20,351.5574035644531
3024561,380,28,4188,43,-38,-16,5,-1,20,351.5823669433594
3029563,377,40,4210,42,-38,-14,4,-3,14,351.56573486328125
3034561,381,36,4195,45,-38,-14,4,-3,14,351.56158447265625
3039563,372,20,4148,46,-38,-16,5,-1,17,351.5548095703125
3044561,369,28,4210,40,-36,-19,5,-1,17,351.5792541503906
3049563,375,8,4186,43,-38,-16,5,-4,17,351.5901794433594
3054561,372,35,4187,45,-38,-15,5,-4,17,351.5724792480469
3059563,393,33,4214,45,-38,-16,4,-3,18,351.5979919433594
3064561,368,34,4171,44,-37,-16,4,-3,18,351.5849914550781
3069563,396,52,4187,47,-40,-15,6,-3,18,351.6031799316406
3074561,352,33,4205,43,-39,-15,6,-3,18,351.5563659667969
3079563,367,37,4190,46,-38,-18,5,-1,16,351.53607177734375
3084561,393,21,4171,43,-39,-15,5,-1,16,351.5605163574219
3089563,345,52,4213,42,-37,-18,4,-4,17,351.6062927246094
3094561,397,26,4208,42,-38,-18,4,-4,17,351.5792541503906
3099563,314,44,4226,41,-38,-15,4,-1,16,351.6182556152344
3104561,404,27,4162,43,-36,-16,4,-1,16,351.588623046875
3109563,400,51,4174,42,-42,-17,5,-3,17,351.57354736328125
3114561,320,30,4234,40,-38,-15,5,-3,17,351.5912170410156
3119563,432,43,4191,41,-40,-17,4,-3,16,351.56573486328125
3124561,331,42,4224,44,-39,-16,4,-3,16,351.5631408691406
3129563,394,23,4174,44,-39,-15,3,-1,15,351.580810546875
3134561,343,44,4210,44,-37,-15,3,-1,15,351.5860290527344
3139563,367,37,4179,43,-39,-16,4,-1,18,351.55377197265625
3144561,371,15,4186,46,-37,-17,4,-1,18,351.5548095703125
3149563,356,34,4201,44,-39,-16,5,-3,17,351.5428466796875
3154561,420,46,4163,42,-38,-15,5,-3,17,351.5641784667969
3159563,321,56,4245,43,-35,-14,5,-4,16,351.588623046875
3164561,429,10,4157,39,-43,-15,5,-4,16,351.5860290527344
3169563,352,37,4213,42,-39,-12,5,-4,16,351.5761413574219
3174561,455,263,4117,46,-42,-6,6,-3,17,351.59954833984375
3179563,538,644,4179,51,-47,91,6,-3,17,351.57354736328125
3184561,484,619,4187,62,-40,308,5,-1,16,351.5849914550781
3189563,551,581,4123,62,-45,539,5,-1,16,351.58758544921875
3194561,407,471,4231,86,-37,750,8,-2,18,351.6005859375
3199563,370,157,4228,95,-28,913,8,-2,18,351.58758544921875
3204561,731,22,3714,78,-83,965,5,1,20,351.5901794433594
3209563,-59,-141,4299,7,-123,828,5,1,20,351.5953674316406
3214561,579,-175,4313,44,-101,673,3,-2,18,351.5927734375
3219563,244,-435,4327,62,-70,527,3,-2,18,351.61151123046875
3224561,465,-457,3963,77,-33,346,5,-2,16,351.5927734375
3229563,345,-484,4234,89,-10,203,5,-2,16,351.604736328125
3234561,42,-475,4416,100,41,59,2,-2,19,351.5943298339844
3239563,61,-266,4017,81,7,-39,2,-2,19,351.6281433105469
3244561,587,93,4053,38,-59,-29,3,-3,17,351.604736328125
3249563,326,-13,4239,34,-38,-14,3,-3,17,351.5683288574219
3254561,200,9,4331,45,-26,-15,3,-1,17,351.57354736328125
3259563,486,49,4084,42,-40,-16,3,-1,17,351.5693664550781
3264561,386,76,4182,38,-42,-15,4,-3,17,351.5605163574219
3269563,348,6,4201,34,-49,-13,4,-3,17,351.5693664550781
3274561,324,22,4242,33,-49,-14,3,-2,15,351.5631408691406
3279563,451,13,4137,42,-43,-16,3,-2,15,351.54180908203125
3284561,340,24,4199,44,-32,-16,5,-4,17,351.5334777832031
3289563,379,37,4218,49,-26,-16,5,-4,17,351.5683288574219
